kegg_pathway_id	kegg_ko_id	
00710	K01623	"649,138"
00710	K01624	"649,138"
00710	K11645	"649,138"
00710	K11532	"601,196"
00710	K01086	"601,196"
00710	K01100	"601,196"
00710	K00615	"600,309"
00710	K01807	"601,366"
00710	K01808	"601,366"
00710	K00855	"601,421"
00710	K01783	"714,397"
00710	K03841	"1005,173"
00710	K02446	"1005,173"
00710	K11532	"1005,173"
00710	K01086	"1005,173"
00710	K04041	"1005,173"
00710	K01623	"1005,231"
00710	K01624	"1005,231"
00710	K11645	"1005,231"
00710	K01803	"937,267"
00710	K05298	"984,317"
00710	K00927	"1009,412"
00710	K01601	"804,451"
00710	K01602	"804,451"
00710	K01006	"844,635"
00710	K01595	"908,595"
00710	K00025	"971,635"
00710	K00026	"971,635"
00710	K00024	"971,635"
00710	K00615	"937,139"
00710	K01621	"888,397"
00710	K11214	"548,273"
00710	K00150	"1034,317"
00710	K01632	"879,107"
00710	K00134	"1009,336"
00710	K14454	"431,539"
00710	K14454	"365,571"
00710	K14455	"365,571"
00710	K00025	"431,605"
00710	K00026	"431,605"
00710	K00024	"431,605"
00710	K00814	"307,671"
00710	K14272	"307,671"
00710	K00814	"186,671"
00710	K14272	"186,671"
00710	K01006	"121,637"
00710	K00051	"493,571"
00710	K01595	"308,475"
00710	K00029	"294,762"
00710	K00028	"369,715"
00710	K00029	"908,676"
00710	K01610	"260,605"
