kegg_pathway_id	kegg_ko_id	
00650	K00019	"327,564"
00650	K07518	"327,502"
00650	K01027	"481,650"
00650	K01028	"481,650"
00650	K01029	"481,650"
00650	K01907	"486,580"
00650	K01640	"807,666"
00650	K01641	"807,618"
00650	K00626	"807,580"
00650	K00074	"667,523"
00650	K00022	"617,523"
00650	K01825	"617,523"
00650	K01782	"617,523"
00650	K07514	"617,523"
00650	K00023	"536,524"
00650	K01782	"590,470"
00650	K01825	"590,470"
00650	K03821	"483,471"
00650	K05973	"378,471"
00650	K01692	"643,433"
00650	K01825	"643,433"
00650	K01782	"643,433"
00650	K07515	"643,433"
00650	K07514	"643,433"
00650	K07511	"643,433"
00650	K01715	"643,433"
00650	K17865	"536,422"
00650	K14534	"567,371"
00650	K00043	"320,381"
00650	K08318	"320,381"
00650	K18120	"320,381"
00650	K13524	"226,381"
00650	K07250	"226,381"
00650	K14268	"226,381"
00650	K00823	"226,381"
00650	K01580	"125,392"
00650	K00169	"1025,382"
00650	K00170	"1025,382"
00650	K00172	"1025,382"
00650	K00171	"1025,382"
00650	K00656	"976,382"
00650	K00248	"721,357"
00650	K00634	"754,291"
00650	K00132	"581,309"
00650	K04072	"581,309"
00650	K04073	"581,309"
00650	K18366	"581,309"
00650	K00100	"471,320"
00650	K00139	"300,291"
00650	K17761	"300,291"
00650	K08324	"300,291"
00650	K00135	"276,272"
00650	K08324	"276,272"
00650	K01896	"666,286"
00650	K01034	"617,286"
00650	K01035	"617,286"
00650	K00929	"699,255"
00650	K07246	"894,216"
00650	K01799	"536,216"
00650	K00239	"361,205"
00650	K00240	"361,205"
00650	K00241	"361,205"
00650	K00242	"361,205"
00650	K01575	"801,133"
00650	K00004	"683,133"
00650	K03366	"683,53"
00650	K18009	"683,53"
00650	K01726	"784,395"
00650	K01039	"836,426"
00650	K01040	"836,426"
00650	K01615	"691,400"
00650	K00109	"836,488"
00650	K00004	"801,108"
00650	K03366	"800,53"
00650	K18009	"800,53"
00650	K16871	"226,402"
00650	K18122	"413,392"
00650	K14534	"511,392"
00650	K01652	"919,133"
00650	K01653	"919,133"
00650	K11258	"919,133"
00650	K18119	"226,339"
00650	K18118	"177,281"
00650	K00135	"250,291"
00650	K18121	"320,402"
00650	K03366	"683,108"
00650	K18009	"683,108"
00650	K00004	"683,78"
00650	K00209	"667,357"
00650	K17829	"617,357"
00650	K00244	"361,226"
00650	K00245	"361,226"
00650	K00246	"361,226"
00650	K00247	"361,226"
