kegg_pathway_id	kegg_ko_id	coords
04370	K04393	"278,340"
04370	K05098	"120,301"
04370	K01116	"247,221"
04370	K05859	"247,221"
04370	K04718	"483,108"
04370	K11987	"726,222"
04370	K16342	"794,168"
04370	K04455	"605,357"
04370	K04443	"496,357"
04370	K04444	"496,357"
04370	K04348	"497,222"
04370	K06268	"497,222"
04370	K04456	"350,489"
04370	K00922	"247,410"
04370	K02649	"247,410"
04370	K17332	"580,222"
04370	K02677	"433,147"
04370	K05725	"495,290"
04370	K04441	"375,357"
04370	K05760	"495,312"
04370	K08273	"247,174"
04370	K05704	"176,377"
04370	K17447	"247,255"
04370	K05448	"49,301"
04370	K04371	"756,126"
04370	K04368	"680,126"
04370	K04369	"680,126"
04370	K04366	"630,100"
04370	K02833	"553,89"
04370	K07827	"553,89"
04370	K07828	"553,89"
04370	K13242	"468,463"
04370	K04399	"468,502"
04370	K02158	"468,541"
04370	K04392	"531,411"
04370	K07860	"531,411"
04370	K07861	"531,411"
