kegg_pathway_id	kegg_ko_id	coords
00300	K10206	"648,243"
00300	K05831	"754,464"
00300	K05830	"707,495"
00300	K05829	"615,495"
00300	K05828	"522,495"
00300	K05827	"431,495"
00300	K01929	"963,314"
00300	K15792	"963,314"
00300	K00928	"186,178"
00300	K12524	"186,178"
00300	K12525	"186,178"
00300	K12526	"186,178"
00300	K00133	"289,178"
00300	K00003	"343,142"
00300	K12524	"343,142"
00300	K12525	"343,142"
00300	K01714	"392,178"
00300	K00215	"496,178"
00300	K03340	"648,314"
00300	K05822	"619,111"
00300	K00674	"599,178"
00300	K00841	"760,111"
00300	K00821	"702,178"
00300	K14267	"702,178"
00300	K05823	"832,178"
00300	K01439	"755,207"
00300	K01778	"755,281"
00300	K01586	"755,368"
00300	K12526	"755,368"
00300	K00290	"707,424"
00300	K00293	"615,424"
00300	K00143	"522,424"
00300	K14085	"522,424"
00300	K00143	"387,461"
00300	K14085	"387,461"
00300	K00825	"334,485"
00300	K05825	"334,485"
00300	K05824	"259,461"
00300	K10978	"259,461"
00300	K01705	"309,390"
00300	K01655	"146,353"
00300	K10977	"146,353"
00300	K00143	"431,424"
00300	K14085	"431,424"
00300	K01928	"828,314"
00300	K15792	"828,314"
00300	K00838	"334,506"
00300	K16792	"237,364"
00300	K16793	"237,364"
00300	K17753	"309,461"
00300	K16792	"259,390"
00300	K16793	"259,390"
00300	K16181	"877,511"
00300	K16182	"974,511"
00300	K16180	"834,451"
00300	K17450	"237,343"
