kegg_pathway_id	kegg_ko_id	coords
00623	K00492	"261,327"
00623	K00141	"543,347"
00623	K03268	"119,233"
00623	K16268	"119,233"
00623	K18089	"119,233"
00623	K18090	"119,233"
00623	K16269	"261,233"
00623	K00141	"543,395"
00623	K00055	"417,385"
00623	K07540	"102,108"
00623	K07543	"211,108"
00623	K07544	"211,108"
00623	K07545	"336,108"
00623	K07546	"460,108"
00623	K07547	"582,108"
00623	K07548	"582,108"
00623	K07549	"701,108"
00623	K07550	"701,108"
00623	K00492	"190,504"
00623	K15766	"263,548"
00623	K15767	"263,548"
00623	K01856	"498,548"
00623	K00141	"543,467"
00623	K03381	"391,548"
00623	K05797	"378,448"
00623	K15768	"192,583"
00623	K15769	"192,583"
00623	K03384	"120,695"
00623	K01860	"498,694"
00623	K01860	"609,694"
00623	K01061	"722,695"
00623	K01860	"556,740"
00623	K01061	"723,739"
00623	K00217	"833,740"
00623	K00217	"941,739"
00623	K01856	"498,507"
00623	K16249	"119,180"
00623	K16243	"119,180"
00623	K16244	"119,180"
00623	K16242	"119,180"
00623	K16245	"119,180"
00623	K16246	"119,180"
00623	K16249	"261,179"
00623	K16243	"261,179"
00623	K16244	"261,179"
00623	K16242	"261,179"
00623	K16245	"261,179"
00623	K16246	"261,179"
00623	K03380	"261,291"
00623	K15760	"119,291"
00623	K15761	"119,291"
00623	K15762	"119,291"
00623	K15763	"119,291"
00623	K15764	"119,291"
00623	K15765	"119,291"
00623	K15757	"119,395"
00623	K15758	"119,395"
00623	K15760	"119,448"
00623	K15761	"119,448"
00623	K15762	"119,448"
00623	K15763	"119,448"
00623	K15764	"119,448"
00623	K15765	"119,448"
00623	K15760	"119,374"
00623	K15761	"119,374"
00623	K15762	"119,374"
00623	K15763	"119,374"
00623	K15764	"119,374"
00623	K15765	"119,374"
