kegg_pathway_id	kegg_ko_id	coords
04011	K09448	"736,446"
04011	K11215	"679,471"
04011	K11241	"679,427"
04011	K11242	"679,427"
04011	K11226	"516,471"
04011	K11228	"443,471"
04011	K04409	"368,471"
04011	K04393	"293,471"
04011	K11246	"141,471"
04011	K09291	"590,293"
04011	K04464	"590,273"
04011	K04513	"293,273"
04011	K11245	"141,273"
04011	K11244	"141,244"
04011	K11243	"793,159"
04011	K11241	"679,116"
04011	K11242	"679,116"
04011	K11238	"368,205"
04011	K11235	"67,174"
04011	K11213	"141,144"
04011	K04627	"141,174"
04011	K11234	"67,144"
04011	K07972	"216,188"
04011	K07973	"216,205"
04011	K11237	"344,134"
04011	K04409	"368,159"
04011	K11236	"293,196"
04011	K04393	"293,159"
04011	K11239	"478,134"
04011	K11228	"443,159"
04011	K11226	"516,159"
04011	K11240	"590,213"
04011	K11215	"679,159"
04011	K06652	"679,196"
04011	K12412	"736,134"
04011	K02677	"368,273"
04011	K11229	"443,273"
04011	K08294	"516,273"
04011	K11228	"443,343"
04011	K06649	"679,302"
04011	K06648	"679,302"
04011	K11231	"141,385"
04011	K11233	"368,385"
04011	K11230	"443,385"
04011	K11227	"516,385"
04011	K04441	"590,385"
04011	K12412	"679,365"
04011	K09468	"679,385"
04011	K01759	"793,374"
04011	K11246	"141,343"
04011	K04409	"368,343"
04011	K11232	"255,385"
