kegg_pathway_id	kegg_ko_id	coords
04141	K04374	"273,629"
04141	K04452	"338,711"
04141	K04440	"527,629"
04141	K03173	"525,513"
04141	K04426	"527,552"
04141	K04431	"527,590"
04141	K03237	"275,513"
04141	K08054	"417,117"
04141	K08057	"418,173"
04141	K14019	"249,552"
04141	K08056	"418,143"
04141	K04741	"618,552"
04141	K01367	"618,513"
04141	K03853	"618,513"
04141	K10956	"35,192"
04141	K09481	"35,192"
04141	K07342	"35,192"
04141	K13525	"920,371"
04141	K10956	"744,408"
04141	K09481	"744,408"
04141	K07342	"744,408"
04141	K12666	"114,221"
04141	K12667	"114,221"
04141	K12668	"114,221"
04141	K12669	"114,221"
04141	K12670	"114,221"
04141	K00730	"114,221"
04141	K12691	"114,221"
04141	K07151	"114,221"
04141	K10084	"570,358"
04141	K10085	"570,358"
04141	K10086	"570,358"
04141	K14006	"771,151"
04141	K14007	"771,151"
04141	K10082	"642,169"
04141	K10080	"642,189"
04141	K14016	"924,435"
04141	K14015	"924,418"
04141	K10950	"699,324"
04141	K10976	"699,324"
04141	K01230	"543,169"
04141	K05546	"344,169"
04141	K08288	"344,169"
04141	K05546	"479,267"
04141	K08288	"479,267"
04141	K01228	"344,135"
04141	K11718	"395,243"
04141	K01230	"571,391"
04141	K10661	"736,595"
04141	K10601	"737,684"
04141	K14022	"783,700"
04141	K14023	"737,667"
04141	K10575	"737,700"
04141	K04555	"737,700"
04141	K09490	"199,294"
04141	K12275	"35,209"
04141	K09540	"35,209"
04141	K02159	"617,448"
04141	K14021	"617,448"
04141	K09054	"400,469"
04141	K09049	"400,469"
04141	K08852	"525,469"
04141	K16194	"275,469"
04141	K16195	"275,469"
04141	K08860	"275,469"
04141	K16196	"275,469"
04141	K08653	"428,526"
04141	K07765	"428,547"
04141	K09027	"466,621"
04141	K14020	"372,547"
04141	K10839	"987,384"
04141	K04523	"986,362"
04141	K01456	"987,401"
04141	K10578	"736,612"
04141	K04554	"736,612"
04141	K10575	"736,612"
04141	K04555	"736,612"
04141	K10597	"1039,362"
04141	K13719	"1014,315"
04141	K11863	"1039,384"
04141	K14018	"1014,332"
04141	K03283	"894,259"
04141	K14026	"847,666"
04141	K10601	"882,683"
04141	K11519	"843,306"
04141	K13989	"843,306"
04141	K10088	"753,338"
04141	K14027	"836,683"
04141	K14008	"753,360"
04141	K10578	"882,700"
04141	K04554	"882,700"
04141	K10575	"882,700"
04141	K04555	"882,700"
04141	K14025	"893,649"
04141	K03868	"1038,666"
04141	K10099	"992,700"
04141	K10100	"992,700"
04141	K06689	"949,621"
04141	K09502	"995,595"
04141	K09503	"995,595"
04141	K09507	"995,595"
04141	K09508	"995,595"
04141	K09518	"995,595"
04141	K09525	"995,595"
04141	K03283	"995,612"
04141	K09561	"995,629"
04141	K09580	"700,360"
04141	K09582	"700,360"
04141	K09584	"700,360"
04141	K13996	"700,360"
04141	K09586	"700,360"
04141	K13984	"700,360"
04141	K09517	"199,311"
04141	K09521	"199,311"
04141	K09523	"199,311"
04141	K09530	"199,311"
04141	K14002	"199,311"
04141	K14011	"843,369"
04141	K14012	"843,369"
04141	K14013	"843,369"
04141	K14022	"782,612"
04141	K09502	"894,276"
04141	K09503	"894,276"
04141	K09507	"894,276"
04141	K09508	"894,276"
04141	K09518	"894,276"
04141	K09525	"894,276"
04141	K04555	"848,612"
04141	K14014	"869,401"
04141	K06689	"992,675"
04141	K03094	"1038,700"
04141	K03347	"1038,683"
04141	K11519	"893,612"
04141	K13989	"893,612"
04141	K10666	"893,595"
04141	K11519	"893,666"
04141	K04079	"947,259"
04141	K05638	"327,526"
04141	K14004	"771,134"
04141	K14005	"771,134"
04141	K07953	"725,151"
04141	K14003	"725,189"
04141	K09487	"254,294"
04141	K02161	"340,748"
04141	K02161	"646,485"
04141	K10081	"642,210"
04141	K14010	"843,289"
04141	K09561	"1051,595"
04141	K04556	"1051,612"
04141	K09485	"894,299"
04141	K09555	"894,299"
04141	K09556	"894,299"
04141	K09562	"894,299"
04141	K14017	"894,299"
04141	K09541	"947,299"
04141	K09542	"947,299"
04141	K13993	"947,299"
04141	K09486	"153,294"
04141	K14024	"783,684"
04141	K01228	"114,237"
04141	K13999	"160,237"
04141	K14000	"212,203"
04141	K14009	"744,391"
04141	K13249	"698,408"
04141	K13250	"698,408"
04141	K13251	"698,408"
04141	K04571	"698,408"
04141	K14013	"783,667"
04141	K10636	"893,578"
