kegg_pathway_id	kegg_ko_id	coords
00563	K11001	"152,197"
00563	K11002	"152,197"
00563	K09658	"130,214"
00563	K03860	"106,197"
00563	K03861	"152,180"
00563	K03858	"106,180"
00563	K03859	"152,163"
00563	K07541	"256,291"
00563	K05293	"375,511"
00563	K05292	"396,494"
00563	K05291	"350,494"
00563	K05284	"256,274"
00563	K05287	"407,438"
00563	K03434	"250,179"
00563	K05290	"396,477"
00563	K05286	"363,382"
00563	K05289	"350,477"
00563	K05294	"256,487"
00563	K05285	"198,335"
00563	K03857	"106,163"
00563	K01127	"362,181"
00563	K05288	"453,438"
00563	K05283	"308,239"
00563	K07542	"256,383"
00563	K08098	"77,618"
00563	K05286	"154,618"
00563	K07542	"231,618"
00563	K05284	"307,618"
00563	K03857	"385,618"
00563	K05288	"132,575"
00563	K05310	"208,575"
00563	K05285	"285,575"
00563	K05290	"77,569"
