kegg_pathway_id	kegg_ko_id	coords
00500	K01188	"194,533"
00500	K05349	"194,533"
00500	K05350	"194,533"
00500	K01188	"194,506"
00500	K05349	"194,506"
00500	K05350	"194,506"
00500	K00844	"65,490"
00500	K01232	"880,295"
00500	K01198	"279,152"
00500	K15920	"279,152"
00500	K01193	"89,266"
00500	K00847	"115,490"
00500	K12047	"202,315"
00500	K01187	"202,315"
00500	K12316	"202,315"
00500	K12317	"202,315"
00500	K15922	"202,315"
00500	K01193	"202,334"
00500	K01203	"202,353"
00500	K01188	"254,453"
00500	K05349	"254,453"
00500	K05350	"254,453"
00500	K01199	"313,409"
00500	K01179	"303,508"
00500	K00770	"391,152"
00500	K08678	"497,152"
00500	K02808	"146,222"
00500	K02809	"146,222"
00500	K02810	"146,222"
00500	K00695	"433,334"
00500	K00706	"433,409"
00500	K00694	"434,475"
00500	K00696	"433,243"
00500	K01513	"496,492"
00500	K00978	"507,594"
00500	K05344	"410,632"
00500	K11809	"463,683"
00500	K13648	"600,86"
00500	K08679	"543,119"
00500	K00012	"544,234"
00500	K00963	"544,376"
00500	K01051	"710,87"
00500	K00699	"596,152"
00500	K01195	"708,152"
00500	K14756	"708,152"
00500	K00697	"642,305"
00500	K16055	"642,305"
00500	K00693	"642,334"
00500	K16150	"642,334"
00500	K16153	"642,334"
00500	K00975	"588,459"
00500	K01835	"555,687"
00500	K15779	"555,687"
00500	K15778	"555,687"
00500	K01084	"414,722"
00500	K00844	"414,745"
00500	K12407	"414,766"
00500	K00845	"414,766"
00500	K01810	"557,768"
00500	K06859	"557,768"
00500	K13810	"557,768"
00500	K15916	"557,768"
00500	K01196	"764,624"
00500	K00700	"764,595"
00500	K16149	"764,595"
00500	K01087	"832,272"
00500	K16055	"832,272"
00500	K01208	"857,451"
00500	K01194	"937,193"
00500	K05342	"937,218"
00500	K01226	"880,316"
00500	K01838	"937,255"
00500	K01232	"933,338"
00500	K00691	"1029,338"
00500	K01177	"896,511"
00500	K01176	"896,537"
00500	K07405	"896,537"
00500	K05343	"896,537"
00500	K12047	"896,595"
00500	K01178	"896,595"
00500	K12047	"1054,544"
00500	K01187	"1054,544"
00500	K12316	"1054,544"
00500	K12317	"1054,544"
00500	K15922	"1054,544"
00500	K01213	"823,97"
00500	K01184	"823,76"
00500	K00688	"778,513"
00500	K16153	"778,513"
00500	K01196	"1004,544"
00500	K00705	"1004,544"
00500	K05341	"317,361"
00500	K00689	"367,361"
00500	K00692	"250,370"
00500	K00703	"674,459"
00500	K16148	"674,459"
00500	K00702	"1134,685"
00500	K01225	"303,529"
00500	K01210	"277,429"
00500	K00692	"273,265"
00500	K01212	"173,267"
00500	K00690	"602,425"
00500	K18447	"636,492"
00500	K01203	"972,564"
00500	K01182	"972,564"
00500	K12047	"922,564"
00500	K01178	"922,564"
00500	K01203	"951,674"
00500	K01182	"951,674"
00500	K02777	"833,340"
00500	K02817	"833,340"
00500	K02818	"833,340"
00500	K02819	"833,340"
00500	K02777	"933,405"
00500	K02790	"933,405"
00500	K02791	"933,405"
00500	K05343	"1001,373"
00500	K16146	"1100,571"
00500	K16147	"1020,635"
00500	K02438	"759,349"
00500	K06044	"759,349"
00500	K01236	"759,349"
00500	K13057	"778,218"
00500	K06896	"968,431"
00500	K18775	"173,291"
