kegg_pathway_id	kegg_ko_id	coords
00513	K05538	"675,281"
00513	K05529	"338,176"
00513	K05533	"360,247"
00513	K05535	"399,280"
00513	K05538	"490,139"
00513	K05537	"583,281"
00513	K05532	"406,230"
00513	K05530	"383,176"
00513	K01230	"221,138"
00513	K05529	"314,239"
00513	K05528	"309,138"
00513	K05536	"490,280"
00513	K05534	"406,247"
00513	K05531	"360,230"
00513	K03714	"545,600"
00513	K00753	"583,641"
00513	K14413	"675,641"
00513	K14412	"765,641"
00513	K00717	"542,1171"
00513	K07966	"583,1210"
00513	K07967	"583,1210"
00513	K07968	"583,1210"
00513	K00781	"675,1210"
00513	K09656	"584,1254"
00513	K09657	"584,1254"
00513	K09673	"676,1254"
00513	K09672	"676,1254"
00513	K01230	"221,571"
00513	K00726	"309,571"
00513	K01231	"399,571"
00513	K00736	"490,571"
00513	K01230	"221,1140"
00513	K00726	"309,1140"
00513	K01231	"399,1140"
00513	K00736	"490,1140"
00513	K01230	"221,876"
00513	K00726	"309,876"
00513	K01231	"399,876"
00513	K00717	"453,907"
00513	K14434	"492,948"
00513	K14459	"582,948"
00513	K14464	"672,948"
