kegg_pathway_id	kegg_ko_id	coords
03022	K03120	"186,516"
03022	K03125	"232,506"
03022	K03128	"232,523"
03022	K14650	"187,576"
03022	K03129	"233,576"
03022	K03130	"233,559"
03022	K03131	"279,559"
03022	K03132	"278,506"
03022	K14649	"187,559"
03022	K03133	"279,576"
03022	K14535	"279,576"
03022	K03134	"187,593"
03022	K03135	"325,559"
03022	K03124	"110,503"
03022	K03122	"50,503"
03022	K03123	"50,520"
03022	K03121	"422,578"
03022	K03138	"449,504"
03022	K03139	"449,521"
03022	K10844	"567,521"
03022	K03136	"385,504"
03022	K03137	"385,521"
03022	K03141	"521,504"
03022	K03142	"567,504"
03022	K03143	"613,504"
03022	K03144	"659,504"
03022	K10843	"521,521"
03022	K03126	"233,593"
03022	K03127	"325,576"
03022	K03140	"279,593"
03022	K14651	"325,593"
03022	K10845	"613,521"
03022	K02202	"521,538"
03022	K10842	"567,538"
03022	K06634	"613,538"
03022	K03140	"449,538"
