kegg_pathway_id	kegg_ko_id	coords
02060	K02777	"204,281"
02060	K02778	"158,281"
02060	K02779	"158,281"
02060	K02802	"158,321"
02060	K02803	"158,321"
02060	K02804	"158,321"
02060	K02808	"158,438"
02060	K02809	"158,438"
02060	K02810	"158,438"
02060	K02750	"158,641"
02060	K02749	"204,650"
02060	K02755	"158,477"
02060	K02756	"158,477"
02060	K02757	"158,477"
02060	K02777	"204,633"
02060	K11191	"158,594"
02060	K11192	"158,594"
02060	K02777	"204,594"
02060	K02752	"158,516"
02060	K02753	"158,516"
02060	K02777	"204,516"
02060	K02790	"158,359"
02060	K02791	"158,359"
02060	K02777	"204,359"
02060	K02818	"158,555"
02060	K02819	"158,555"
02060	K02777	"204,555"
02060	K02817	"204,555"
02060	K02763	"158,399"
02060	K02764	"158,399"
02060	K02765	"158,399"
02060	K08483	"225,135"
02060	K02784	"226,202"
02060	K02774	"583,797"
02060	K02775	"537,789"
02060	K02773	"583,780"
02060	K03475	"537,844"
02060	K02821	"583,837"
02060	K02822	"583,854"
02060	K02782	"583,742"
02060	K02781	"583,725"
02060	K02783	"537,733"
02060	K02787	"158,708"
02060	K02788	"158,708"
02060	K02786	"204,708"
02060	K02761	"158,756"
02060	K02760	"204,764"
02060	K02759	"204,747"
02060	K10984	"583,615"
02060	K02744	"583,598"
02060	K10986	"537,615"
02060	K10985	"537,598"
02060	K02745	"583,559"
02060	K02747	"537,559"
02060	K02746	"537,542"
02060	K02744	"583,542"
02060	K02815	"537,503"
02060	K02814	"537,486"
02060	K02813	"583,503"
02060	K02812	"583,486"
02060	K02796	"537,390"
02060	K02795	"537,373"
02060	K02793	"583,382"
02060	K02794	"583,382"
02060	K02771	"537,447"
02060	K11196	"537,430"
02060	K11195	"583,447"
02060	K11194	"583,430"
02060	K02798	"537,282"
02060	K02799	"537,282"
02060	K02800	"537,282"
02060	K11198	"537,321"
02060	K11199	"537,321"
02060	K11200	"537,321"
02060	K02769	"904,282"
02060	K02770	"904,282"
02060	K02768	"950,282"
02060	K08485	"973,478"
02060	K08484	"973,412"
02060	K02806	"950,555"
02060	K08483	"973,135"
02060	K11183	"973,201"
02060	K17465	"583,668"
02060	K17464	"583,651"
02060	K17467	"537,668"
02060	K17466	"537,651"
