kegg_pathway_id	kegg_ko_id	coords
00624	K16269	"1044,620"
00624	K11947	"664,701"
00624	K18275	"958,700"
00624	K11949	"868,701"
00624	K18257	"236,701"
00624	K11946	"555,701"
00624	K11943	"133,700"
00624	K11944	"133,700"
00624	K11945	"344,701"
00624	K11948	"771,701"
00624	K00492	"133,590"
00624	K00492	"133,621"
00624	K00492	"133,646"
00624	K00480	"812,631"
00624	K00517	"133,410"
00624	K14582	"236,498"
00624	K14579	"133,499"
00624	K14580	"133,499"
00624	K14578	"133,499"
00624	K14581	"133,499"
00624	K00480	"812,498"
00624	K14582	"236,794"
00624	K03384	"560,794"
00624	K03384	"133,1107"
00624	K14579	"133,1154"
00624	K14580	"133,1154"
00624	K14578	"133,1154"
00624	K14581	"133,1154"
00624	K14582	"236,1155"
00624	K03384	"133,1223"
00624	K03384	"133,1278"
00624	K18068	"1044,730"
00624	K18069	"1044,730"
00624	K18067	"1044,802"
00624	K04102	"1044,874"
00624	K04100	"1044,955"
00624	K04101	"1044,955"
00624	K00448	"985,955"
00624	K00449	"985,955"
00624	K18074	"1129,730"
00624	K18075	"1129,730"
00624	K18077	"1129,730"
00624	K18076	"1129,801"
00624	K04102	"868,875"
00624	K14579	"133,177"
00624	K14580	"133,177"
00624	K14578	"133,177"
00624	K14581	"133,177"
00624	K14599	"133,198"
00624	K14600	"133,198"
00624	K14599	"392,187"
00624	K14600	"392,187"
00624	K14601	"524,187"
00624	K14602	"664,188"
00624	K14603	"664,188"
00624	K14604	"835,188"
00624	K03384	"325,162"
00624	K14579	"133,322"
00624	K14580	"133,322"
00624	K14578	"133,322"
00624	K14581	"133,322"
00624	K00224	"236,322"
00624	K03384	"607,320"
00624	K03384	"607,290"
00624	K03384	"607,251"
00624	K18251	"988,730"
00624	K18252	"988,730"
00624	K18253	"988,730"
00624	K18254	"988,730"
00624	K18255	"988,802"
00624	K18256	"988,874"
00624	K14601	"256,198"
