kegg_pathway_id	kegg_ko_id	coords
01055	K16434	"1107,248"
01055	K16433	"1107,231"
01055	K16432	"1107,214"
01055	K16440	"747,649"
01055	K16434	"696,246"
01055	K16429	"897,163"
01055	K16441	"913,563"
01055	K16439	"764,435"
01055	K16447	"873,806"
01055	K16428	"1009,351"
01055	K16443	"464,529"
01055	K16444	"430,562"
01055	K16427	"426,296"
01055	K16421	"298,179"
01055	K16448	"1139,688"
01055	K16431	"819,143"
01055	K16431	"999,135"
01055	K16445	"1007,582"
01055	K16433	"696,229"
01055	K16430	"755,197"
01055	K16437	"535,436"
01055	K16446	"859,563"
01055	K16425	"315,287"
01055	K16432	"696,212"
01055	K16436	"420,435"
01055	K16435	"299,435"
01055	K01710	"174,435"
01055	K16442	"947,529"
01055	K16438	"647,435"
01055	K16422	"423,180"
01055	K16423	"548,296"
01055	K16424	"242,295"
01055	K16426	"315,304"
01055	K16423	"546,179"
01055	K18836	"711,468"
