kegg_pathway_id	kegg_ko_id	coords
00410	K00249	"766,596"
00410	K01692	"636,596"
00410	K01825	"636,596"
00410	K01782	"636,596"
00410	K07515	"636,596"
00410	K07514	"636,596"
00410	K07511	"636,596"
00410	K05605	"505,596"
00410	K01578	"122,524"
00410	K00140	"180,565"
00410	K00822	"292,423"
00410	K15372	"243,423"
00410	K13524	"193,423"
00410	K07250	"193,423"
00410	K00823	"193,423"
00410	K01918	"341,423"
00410	K13799	"341,423"
00410	K14755	"498,419"
00410	K01580	"554,141"
00410	K01579	"554,120"
00410	K00802	"786,294"
00410	K00797	"786,273"
00410	K00316	"671,294"
00410	K00137	"678,324"
00410	K00276	"554,284"
00410	K00128	"444,273"
00410	K14085	"444,273"
00410	K00149	"444,273"
00410	K01431	"317,252"
00410	K01464	"201,252"
00410	K00207	"100,263"
00410	K17722	"100,241"
00410	K17723	"100,241"
00410	K14755	"498,393"
00410	K14755	"498,445"
00410	K05604	"498,368"
00410	K14755	"554,210"
00410	K05604	"554,187"
00410	K00129	"444,294"
00410	K17839	"786,237"
00410	K13367	"786,237"
00410	K17839	"617,242"
00410	K13367	"617,242"
00410	K08660	"498,347"
00410	K13366	"671,273"
00410	K12259	"786,216"
00410	K13366	"786,216"
