kegg_pathway_id	kegg_ko_id	coords
03430	K06223	"255,766"
03430	K03555	"123,207"
03430	K07456	"123,207"
03430	K08735	"555,354"
03430	K08739	"601,337"
03430	K08734	"555,337"
03430	K03573	"123,348"
03430	K03572	"123,224"
03430	K01971	"123,766"
03430	K01972	"123,766"
03430	K03657	"123,485"
03430	K08734	"601,224"
03430	K10747	"601,766"
03430	K04802	"732,252"
03430	K02337	"255,634"
03430	K03763	"255,634"
03430	K02342	"255,634"
03430	K14159	"255,634"
03430	K02345	"255,634"
03430	K02343	"255,634"
03430	K02341	"255,634"
03430	K02340	"255,634"
03430	K02339	"255,634"
03430	K02344	"255,634"
03430	K02338	"255,634"
03430	K01141	"255,485"
03430	K02327	"732,634"
03430	K02328	"732,634"
03430	K03504	"732,634"
03430	K03505	"732,634"
03430	K07466	"601,634"
03430	K10739	"601,634"
03430	K10740	"601,634"
03430	K10741	"601,634"
03430	K10857	"255,506"
03430	K07462	"307,506"
03430	K08737	"555,241"
03430	K10746	"732,490"
03430	K08735	"555,297"
03430	K08736	"601,297"
03430	K10858	"601,280"
03430	K10858	"555,224"
03430	K10754	"732,224"
03430	K10755	"732,224"
03430	K10756	"732,224"
03430	K03601	"307,485"
03430	K03602	"307,485"
03430	K08736	"601,354"
03430	K08735	"601,241"
03430	K08734	"555,280"
03430	K03111	"123,634"
