kegg_pathway_id	kegg_ko_id	coords
03460	K10896	"298,388"
03460	K10888	"293,320"
03460	K10889	"303,303"
03460	K10890	"279,337"
03460	K10891	"132,344"
03460	K10895	"132,327"
03460	K10892	"279,354"
03460	K10893	"298,371"
03460	K10894	"325,354"
03460	K10606	"233,337"
03460	K10897	"323,509"
03460	K10993	"247,320"
03460	K10901	"440,367"
03460	K10896	"279,127"
03460	K10990	"394,350"
03460	K15364	"394,350"
03460	K15365	"440,350"
03460	K03165	"394,367"
03460	K10905	"123,146"
03460	K06640	"123,163"
03460	K07466	"440,429"
03460	K10739	"440,429"
03460	K10740	"440,429"
03460	K10741	"440,429"
03460	K11137	"233,153"
03460	K08775	"323,493"
03460	K08734	"249,597"
03460	K15362	"249,554"
03460	K10605	"203,554"
03460	K10870	"402,492"
03460	K15363	"132,603"
03460	K11832	"168,284"
03460	K15361	"168,267"
03460	K13960	"224,363"
03460	K03515	"165,480"
03460	K11511	"325,127"
03460	K15360	"325,127"
03460	K11511	"344,388"
03460	K15360	"344,388"
03460	K03509	"265,480"
03460	K03511	"215,502"
03460	K02350	"215,480"
03460	K03508	"215,480"
03460	K03510	"165,502"
03460	K10858	"249,614"
03460	K08991	"440,215"
03460	K10882	"440,232"
03460	K10883	"440,232"
03460	K10848	"440,270"
03460	K10849	"440,287"
03460	K15078	"498,270"
03460	K10484	"498,287"
03460	K15079	"498,287"
03460	K04482	"402,515"
03460	K10898	"279,144"
03460	K10898	"298,405"
03460	K06054	"353,320"
03460	K16618	"265,502"
