kegg_pathway_id	kegg_ko_id	coords
00740	K02858	"412,124"
00740	K14652	"412,124"
00740	K00505	"614,144"
00740	K01513	"719,251"
00740	K00953	"719,296"
00740	K11753	"719,296"
00740	K18453	"719,272"
00740	K01078	"611,273"
00740	K01093	"611,273"
00740	K03788	"611,273"
00740	K09474	"611,273"
00740	K14394	"611,273"
00740	K14379	"611,273"
00740	K14395	"611,273"
00740	K14410	"611,273"
00740	K00861	"610,296"
00740	K11753	"610,296"
00740	K01497	"103,197"
00740	K14652	"103,197"
00740	K01498	"201,197"
00740	K11752	"201,197"
00740	K00082	"300,196"
00740	K11752	"300,196"
00740	K00794	"518,197"
00740	K00793	"565,235"
00740	K07732	"610,317"
00740	K14654	"201,251"
00740	K00299	"635,343"
00740	K05901	"767,344"
00740	K04719	"661,419"
00740	K14655	"300,252"
00740	K08096	"103,294"
00740	K14653	"156,271"
00740	K14656	"719,317"
00740	K05368	"685,343"
