kegg_pathway_id	kegg_ko_id	coords
00626	K14586	"757,612"
00626	K01041	"700,640"
00626	K00480	"801,297"
00626	K00155	"688,296"
00626	K01726	"584,297"
00626	K05915	"370,297"
00626	K14582	"265,296"
00626	K14579	"161,297"
00626	K14580	"161,297"
00626	K14578	"161,297"
00626	K14581	"161,297"
00626	K00492	"112,315"
00626	K15574	"597,640"
00626	K15575	"597,640"
00626	K01726	"584,770"
00626	K00480	"801,770"
00626	K05915	"370,446"
00626	K01726	"584,446"
00626	K13953	"112,366"
00626	K13954	"112,366"
00626	K00001	"112,366"
00626	K00121	"112,366"
00626	K04072	"112,366"
00626	K01670	"158,640"
00626	K15567	"158,640"
00626	K15568	"158,640"
00626	K14582	"265,770"
00626	K05915	"370,770"
00626	K00480	"801,533"
00626	K15573	"510,640"
00626	K15572	"426,640"
00626	K15571	"342,640"
00626	K14579	"161,533"
00626	K14580	"161,533"
00626	K14578	"161,533"
00626	K14581	"161,533"
00626	K00492	"110,673"
00626	K13953	"282,689"
00626	K13954	"282,689"
00626	K00001	"282,689"
00626	K00121	"282,689"
00626	K04072	"282,689"
00626	K00155	"614,688"
00626	K14579	"161,770"
00626	K14580	"161,770"
00626	K14578	"161,770"
00626	K14581	"161,770"
00626	K15569	"260,640"
00626	K15570	"260,640"
00626	K03384	"161,446"
00626	K00155	"688,770"
00626	K00155	"112,416"
00626	K14579	"161,196"
00626	K14580	"161,196"
00626	K14578	"161,196"
00626	K14581	"161,196"
00626	K14582	"265,195"
00626	K14583	"370,195"
00626	K14584	"477,195"
00626	K14585	"584,195"
00626	K00152	"688,195"
00626	K00480	"801,196"
00626	K18242	"749,150"
00626	K18243	"749,150"
00626	K14578	"749,150"
00626	K14581	"749,150"
