kegg_pathway_id	kegg_ko_id	coords
00966	K12154	"296,291"
00966	K11819	"404,291"
00966	K12156	"350,291"
00966	K11820	"457,291"
00966	K15741	"231,181"
00966	K15741	"231,296"
00966	K15742	"231,413"
00966	K15742	"231,530"
00966	K15742	"231,647"
00966	K15742	"231,764"
00966	K12154	"296,408"
00966	K11821	"511,408"
00966	K12154	"296,525"
00966	K12154	"296,642"
00966	K12154	"296,759"
00966	K12155	"296,759"
00966	K12154	"296,876"
00966	K12155	"296,876"
00966	K12153	"927,544"
00966	K11819	"1035,544"
00966	K11818	"981,544"
00966	K11820	"1089,544"
00966	K11812	"927,759"
00966	K11813	"927,759"
00966	K11819	"1035,759"
00966	K11821	"1143,759"
00966	K11818	"981,759"
00966	K11820	"1089,759"
00966	K13027	"927,876"
00966	K11819	"1035,876"
00966	K11821	"1143,876"
00966	K11818	"981,876"
00966	K14984	"927,389"
00966	K13401	"927,177"
