kegg_pathway_id	kegg_ko_id	coords
00514	K11703	"627,463"
00514	K13646	"627,463"
00514	K13675	"753,287"
00514	K13646	"554,463"
00514	K00781	"577,242"
00514	K00778	"577,242"
00514	K00779	"577,242"
00514	K05948	"755,243"
00514	K07966	"664,242"
00514	K07967	"664,242"
00514	K07968	"664,242"
00514	K03691	"819,265"
00514	K13667	"700,366"
00514	K13676	"628,366"
00514	K09667	"576,146"
00514	K18134	"576,146"
00514	K05538	"96,470"
00514	K10968	"96,470"
00514	K10969	"96,470"
00514	K05538	"169,470"
00514	K10968	"169,470"
00514	K10969	"169,470"
00514	K10967	"241,470"
00514	K10967	"316,470"
00514	K00728	"388,470"
00514	K10970	"96,494"
00514	K10970	"169,494"
00514	K10967	"241,494"
00514	K10967	"316,494"
00514	K00728	"388,494"
00514	K10967	"241,519"
00514	K10967	"316,519"
00514	K00728	"388,519"
00514	K10971	"93,594"
00514	K10967	"155,572"
00514	K10967	"228,572"
00514	K00728	"300,572"
00514	K00781	"114,149"
00514	K07966	"184,149"
00514	K07967	"184,149"
00514	K07968	"184,149"
00514	K09666	"272,149"
00514	K00728	"346,149"
00514	K07966	"112,215"
00514	K07967	"112,215"
00514	K07968	"112,215"
00514	K03663	"93,249"
00514	K07632	"93,249"
00514	K07635	"93,249"
00514	K09666	"171,223"
00514	K00728	"245,223"
00514	K00781	"113,290"
00514	K07966	"183,289"
00514	K07967	"183,289"
00514	K07968	"183,289"
00514	K09661	"288,310"
00514	K09666	"271,341"
00514	K00728	"335,317"
00514	K00781	"113,342"
00514	K07966	"183,341"
00514	K07967	"183,341"
00514	K07968	"183,341"
00514	K09674	"69,385"
00514	K00735	"144,385"
00514	K10157	"144,385"
00514	K00715	"213,385"
00514	K00728	"372,385"
00514	K09666	"298,385"
