kegg_pathway_id	kegg_ko_id	coords
00073	K15401	"198,421"
00073	K13407	"198,480"
00073	K13407	"309,542"
00073	K17991	"151,447"
00073	K17991	"259,447"
00073	K15398	"198,245"
00073	K15402	"198,644"
00073	K15399	"309,284"
00073	K15403	"308,875"
00073	K15400	"309,325"
00073	K17991	"308,921"
00073	K13356	"197,1287"
00073	K15406	"308,1286"
00073	K15404	"308,1205"
00073	K15405	"526,1206"
00073	K15406	"308,1325"
00073	K15405	"415,1205"
00073	K15401	"197,875"
00073	K15398	"197,875"
00073	K15402	"197,875"
00073	K15399	"308,966"
