kegg_pathway_id	kegg_ko_id	coords
04120	K10685	"220,340"
04120	K10684	"169,340"
04120	K03872	"424,951"
04120	K03873	"424,934"
04120	K03868	"332,977"
04120	K03868	"332,896"
04120	K03868	"332,859"
04120	K03868	"332,820"
04120	K03360	"470,781"
04120	K03361	"470,781"
04120	K03362	"470,781"
04120	K03875	"470,781"
04120	K10099	"470,781"
04120	K10259	"470,781"
04120	K10260	"470,781"
04120	K10291	"470,781"
04120	K03876	"472,859"
04120	K07868	"472,859"
04120	K10447	"472,859"
04120	K10456	"472,859"
04120	K10140	"470,896"
04120	K10143	"470,896"
04120	K10570	"470,896"
04120	K10571	"470,896"
04120	K04694	"470,934"
04120	K04696	"470,934"
04120	K03871	"470,820"
04120	K10615	"267,661"
04120	K10614	"216,661"
04120	K10688	"688,380"
04120	K10687	"688,340"
04120	K10686	"270,340"
04120	K03359	"915,849"
04120	K03357	"869,849"
04120	K03356	"915,832"
04120	K03355	"869,832"
04120	K03353	"869,815"
04120	K03354	"915,815"
04120	K03352	"915,798"
04120	K03351	"869,798"
04120	K03350	"915,781"
04120	K03348	"869,781"
04120	K03364	"823,798"
04120	K03363	"823,781"
04120	K03349	"731,781"
04120	K03358	"685,781"
04120	K10264	"470,977"
04120	K03873	"424,820"
04120	K03872	"424,837"
04120	K03869	"377,859"
04120	K03870	"378,820"
04120	K03094	"424,977"
04120	K03094	"424,781"
04120	K03347	"378,781"
04120	K03868	"332,781"
04120	K10613	"378,977"
04120	K10612	"378,934"
04120	K10611	"332,934"
04120	K10610	"424,896"
04120	K10609	"378,896"
04120	K10608	"862,661"
04120	K10607	"811,661"
04120	K08285	"761,661"
04120	K10606	"712,661"
04120	K10605	"662,661"
04120	K10604	"612,661"
04120	K10603	"912,640"
04120	K10602	"862,640"
04120	K10601	"811,640"
04120	K04706	"761,640"
04120	K16063	"761,640"
04120	K16064	"761,640"
04120	K16065	"761,640"
04120	K16060	"712,640"
04120	K04725	"712,640"
04120	K16061	"712,640"
04120	K10144	"662,640"
04120	K10143	"611,640"
04120	K04416	"912,618"
04120	K03175	"862,618"
04120	K10054	"811,618"
04120	K04506	"761,618"
04120	K04556	"712,618"
04120	K04707	"662,618"
04120	K06643	"611,618"
04120	K10600	"476,640"
04120	K10599	"426,640"
04120	K10587	"64,618"
04120	K10584	"637,380"
04120	K06689	"636,340"
04120	K10580	"792,360"
04120	K05633	"64,640"
04120	K04678	"215,618"
04120	K10589	"165,618"
04120	K10578	"532,360"
04120	K10588	"115,618"
04120	K10583	"584,380"
04120	K06688	"584,340"
04120	K10573	"480,340"
04120	K05632	"265,618"
04120	K04649	"792,380"
04120	K04554	"584,360"
04120	K04553	"688,360"
04120	K04552	"636,360"
04120	K04555	"792,340"
04120	K10575	"740,340"
04120	K03178	"118,340"
04120	K10698	"118,340"
04120	K10699	"118,340"
04120	K10598	"376,640"
04120	K10595	"165,661"
04120	K02207	"532,380"
04120	K09561	"476,618"
04120	K10594	"115,661"
04120	K05630	"115,640"
04120	K10597	"426,618"
04120	K10593	"64,661"
04120	K10590	"165,640"
04120	K10596	"376,618"
04120	K10592	"265,640"
04120	K10585	"740,380"
04120	K10586	"845,380"
04120	K10591	"215,640"
04120	K13305	"215,640"
04120	K10582	"480,380"
04120	K10581	"846,360"
04120	K10579	"739,360"
04120	K10577	"480,360"
04120	K10576	"845,340"
04120	K10574	"532,340"
04120	K12456	"915,866"
04120	K12416	"915,866"
