kegg_pathway_id	kegg_ko_id	coords
00540	K02840	"68,701"
00540	K02849	"131,537"
00540	K02841	"295,568"
00540	K00979	"491,283"
00540	K03270	"576,283"
00540	K00912	"535,226"
00540	K03280	"486,706"
00540	K00748	"614,191"
00540	K03278	"574,706"
00540	K02847	"526,849"
00540	K03277	"71,922"
00540	K02847	"127,1063"
00540	K03279	"527,602"
00540	K03276	"118,816"
00540	K03275	"163,922"
00540	K03271	"734,437"
00540	K03273	"533,437"
00540	K03272	"638,437"
00540	K03272	"435,437"
00540	K02517	"188,264"
00540	K02560	"188,348"
00540	K02850	"43,615"
00540	K02848	"229,537"
00540	K02527	"253,226"
00540	K02527	"393,226"
00540	K02844	"118,726"
00540	K02843	"218,626"
00540	K02527	"216,724"
00540	K03274	"331,437"
00540	K03269	"651,141"
00540	K01627	"661,283"
00540	K02536	"535,141"
00540	K02535	"393,141"
00540	K16363	"393,141"
00540	K00677	"253,141"
00540	K07031	"638,365"
00540	K11211	"287,180"
00540	K03273	"533,365"
00540	K15669	"435,365"
00540	K03271	"734,365"
