kegg_pathway_id	kegg_ko_id	coords
00401	K17629	"822,762"
00401	K12727	"799,668"
00401	K12726	"799,595"
00401	K12725	"776,425"
00401	K12725	"799,334"
00401	K12722	"538,762"
00401	K12720	"710,508"
00401	K12719	"664,508"
00401	K12721	"687,604"
00401	K12724	"584,762"
00401	K12718	"562,668"
00401	K12717	"562,595"
00401	K12715	"561,425"
00401	K12714	"562,268"
00401	K12713	"985,762"
00401	K12712	"984,668"
00401	K12711	"984,595"
00401	K12709	"985,425"
00401	K17627	"822,425"
00401	K12704	"490,139"
00401	K12703	"490,122"
00401	K12702	"359,130"
00401	K12701	"263,130"
00401	K12708	"317,389"
00401	K12708	"222,346"
00401	K00832	"247,184"
00401	K00838	"247,184"
00401	K00815	"247,165"
00401	K00838	"247,165"
00401	K00817	"197,184"
00401	K00220	"155,229"
00401	K00210	"155,208"
00401	K04517	"155,208"
00401	K14187	"155,208"
00401	K00220	"155,208"
00401	K00812	"197,165"
00401	K00813	"197,165"
00401	K11358	"197,165"
00401	K12707	"222,259"
00401	K12705	"984,507"
00401	K12723	"664,687"
00401	K17626	"710,687"
00401	K17628	"776,762"
