kegg_pathway_id	kegg_ko_id	coords
03070	K11004	"149,789"
03070	K11003	"149,772"
03070	K12340	"149,755"
03070	K11028	"788,755"
03070	K11017	"840,755"
03070	K11016	"840,772"
03070	K12341	"892,755"
03070	K12342	"892,777"
03070	K11904	"1329,755"
03070	K11903	"1329,772"
03070	K11906	"1329,789"
03070	K11915	"1421,840"
03070	K11891	"1329,806"
03070	K11892	"1375,806"
03070	K11912	"1329,840"
03070	K11913	"1375,840"
03070	K11907	"1329,823"
03070	K03221	"279,755"
03070	K04059	"371,772"
03070	K04057	"325,772"
03070	K04056	"279,772"
03070	K03219	"279,789"
03070	K04058	"279,806"
03070	K03222	"279,823"
03070	K03226	"325,823"
03070	K03227	"371,823"
03070	K03228	"279,840"
03070	K03229	"325,840"
03070	K03230	"371,840"
03070	K03224	"279,857"
03070	K03225	"279,874"
03070	K03223	"325,874"
03070	K02453	"533,755"
03070	K02465	"533,772"
03070	K02455	"579,789"
03070	K02456	"625,789"
03070	K02452	"533,789"
03070	K02457	"533,806"
03070	K02458	"579,806"
03070	K02459	"625,806"
03070	K02460	"533,823"
03070	K02461	"579,823"
03070	K02462	"625,823"
03070	K02454	"533,840"
03070	K02464	"533,859"
03070	K03070	"533,960"
03070	K03106	"581,1013"
03070	K03110	"533,994"
03070	K03071	"533,1013"
03070	K03072	"533,926"
03070	K03074	"533,926"
03070	K12257	"533,926"
03070	K03075	"625,926"
03070	K03076	"533,943"
03070	K03210	"579,943"
03070	K03217	"625,943"
03070	K03073	"579,926"
03070	K03116	"767,926"
03070	K03118	"859,926"
03070	K03425	"905,926"
03070	K03117	"813,926"
03070	K03197	"1064,772"
03070	K03200	"1156,772"
03070	K03198	"1110,772"
03070	K03202	"1064,789"
03070	K03204	"1110,789"
03070	K03201	"1064,806"
03070	K03203	"1110,806"
03070	K03195	"1156,806"
03070	K03199	"1064,823"
03070	K03196	"1110,823"
03070	K03205	"1156,823"
03070	K03194	"1064,755"
03070	K13301	"533,977"
