kegg_pathway_id	kegg_ko_id	
00040	K01184	"482,188"
00040	K03081	"715,579"
00040	K00880	"680,503"
00040	K01195	"482,410"
00040	K14756	"482,410"
00040	K01804	"846,686"
00040	K00853	"710,776"
00040	K00039	"355,844"
00040	K00875	"468,855"
00040	K00853	"468,834"
00040	K01783	"517,796"
00040	K01786	"574,777"
00040	K03080	"574,777"
00040	K05352	"575,845"
00040	K03082	"634,737"
00040	K00007	"389,730"
00040	K00854	"468,693"
00040	K14275	"181,724"
00040	K00880	"635,666"
00040	K01820	"578,662"
00040	K05351	"389,661"
00040	K01805	"314,665"
00040	K14274	"181,662"
00040	K00011	"793,631"
00040	K03331	"497,637"
00040	K00011	"365,630"
00040	K14273	"232,620"
00040	K13247	"640,408"
00040	K00963	"327,494"
00040	K00699	"378,410"
00040	K00012	"327,428"
00040	K16190	"481,377"
00040	K12447	"378,387"
00040	K01812	"483,337"
00040	K00040	"366,337"
00040	K01686	"223,337"
00040	K01685	"146,285"
00040	K16849	"146,285"
00040	K16850	"146,285"
00040	K01812	"366,242"
00040	K00041	"223,242"
00040	K08092	"682,436"
00040	K01213	"430,212"
00040	K01184	"430,161"
00040	K01051	"429,109"
00040	K01728	"366,129"
00040	K01730	"300,161"
00040	K01815	"180,190"
00040	K00065	"90,285"
00040	K00848	"597,574"
00040	K01629	"504,574"
00040	K01731	"366,150"
00040	K00078	"232,641"
00040	K14273	"232,641"
00040	K14259	"151,754"
00040	K00128	"79,754"
00040	K17738	"389,808"
00040	K17818	"439,730"
00040	K17818	"439,808"
00040	K18107	"810,242"
00040	K18102	"623,242"
00040	K18103	"716,242"
00040	K18106	"528,242"
00040	K17743	"365,601"
00040	K00008	"439,661"
00040	K00002	"584,366"
