kegg_pathway_id	kegg_ko_id	
00190	K02263	"297,746"
00190	K03968	"619,605"
00190	K03967	"573,605"
00190	K03966	"481,605"
00190	K03965	"435,605"
00190	K03964	"389,605"
00190	K03963	"343,605"
00190	K03962	"297,605"
00190	K03961	"251,605"
00190	K03960	"205,605"
00190	K03959	"159,605"
00190	K03958	"113,605"
00190	K03957	"67,605"
00190	K03956	"573,581"
00190	K03955	"527,581"
00190	K03954	"481,581"
00190	K03953	"435,581"
00190	K03952	"389,581"
00190	K03951	"343,581"
00190	K03950	"297,581"
00190	K03949	"251,581"
00190	K03948	"205,581"
00190	K03947	"159,581"
00190	K03946	"113,581"
00190	K03945	"67,581"
00190	K05903	"198,424"
00190	K03944	"527,509"
00190	K03943	"481,509"
00190	K03942	"435,509"
00190	K03941	"389,509"
00190	K03940	"343,509"
00190	K03939	"297,509"
00190	K03938	"251,509"
00190	K03937	"205,509"
00190	K03936	"159,509"
00190	K03935	"113,509"
00190	K03934	"67,509"
00190	K05585	"665,557"
00190	K05584	"619,557"
00190	K05583	"573,557"
00190	K05573	"527,557"
00190	K05575	"481,557"
00190	K05577	"435,557"
00190	K05576	"389,557"
00190	K05578	"343,557"
00190	K05580	"297,557"
00190	K05572	"251,557"
00190	K05588	"803,557"
00190	K05587	"757,557"
00190	K05586	"711,557"
00190	K05579	"205,557"
00190	K05581	"159,557"
00190	K05582	"113,557"
00190	K05574	"67,557"
00190	K00343	"665,533"
00190	K00342	"619,533"
00190	K15863	"619,533"
00190	K00341	"573,533"
00190	K15863	"573,533"
00190	K00340	"527,533"
00190	K00339	"481,533"
00190	K00338	"435,533"
00190	K00337	"389,533"
00190	K00336	"343,533"
00190	K00335	"297,533"
00190	K00334	"251,533"
00190	K00333	"205,533"
00190	K13378	"205,533"
00190	K13380	"205,533"
00190	K00332	"159,533"
00190	K13378	"159,533"
00190	K13380	"159,533"
00190	K00331	"113,533"
00190	K13380	"113,533"
00190	K00330	"67,533"
00190	K03884	"343,486"
00190	K03883	"297,486"
00190	K03882	"251,486"
00190	K03881	"205,486"
00190	K03880	"159,486"
00190	K03879	"113,486"
00190	K03878	"67,486"
00190	K02260	"849,746"
00190	K02259	"803,755"
00190	K02258	"757,755"
00190	K00356	"150,424"
00190	K03885	"150,424"
00190	K03934	"150,424"
00190	K03935	"150,424"
00190	K03936	"150,424"
00190	K03937	"150,424"
00190	K03938	"150,424"
00190	K03939	"150,424"
00190	K03940	"150,424"
00190	K03941	"150,424"
00190	K03942	"150,424"
00190	K03943	"150,424"
00190	K03944	"150,424"
00190	K03945	"150,424"
00190	K03946	"150,424"
00190	K03947	"150,424"
00190	K03948	"150,424"
00190	K03949	"150,424"
00190	K03950	"150,424"
00190	K03951	"150,424"
00190	K03952	"150,424"
00190	K03953	"150,424"
00190	K03954	"150,424"
00190	K03955	"150,424"
00190	K11352	"150,424"
00190	K11353	"150,424"
00190	K03957	"150,424"
00190	K03958	"150,424"
00190	K03959	"150,424"
00190	K03960	"150,424"
00190	K03961	"150,424"
00190	K03962	"150,424"
00190	K03963	"150,424"
00190	K03964	"150,424"
00190	K03965	"150,424"
00190	K03966	"150,424"
00190	K11351	"150,424"
00190	K03967	"150,424"
00190	K03968	"150,424"
00190	K02273	"711,746"
00190	K02272	"665,746"
00190	K02271	"619,746"
00190	K02269	"573,746"
00190	K02270	"573,746"
00190	K02268	"527,746"
00190	K02826	"251,803"
00190	K02827	"205,803"
00190	K02828	"159,803"
00190	K02829	"113,803"
00190	K02275	"251,786"
00190	K02274	"205,786"
00190	K15408	"205,786"
00190	K02276	"159,786"
00190	K15408	"159,786"
00190	K02277	"113,786"
00190	K00329	"174,403"
00190	K00330	"174,403"
00190	K00331	"174,403"
00190	K00332	"174,403"
00190	K00333	"174,403"
00190	K00334	"174,403"
00190	K00335	"174,403"
00190	K00336	"174,403"
00190	K00337	"174,403"
00190	K00338	"174,403"
00190	K00339	"174,403"
00190	K00340	"174,403"
00190	K00341	"174,403"
00190	K00342	"174,403"
00190	K00343	"174,403"
00190	K05572	"174,403"
00190	K05573	"174,403"
00190	K05574	"174,403"
00190	K05575	"174,403"
00190	K05576	"174,403"
00190	K05577	"174,403"
00190	K05578	"174,403"
00190	K05579	"174,403"
00190	K05580	"174,403"
00190	K05581	"174,403"
00190	K05582	"174,403"
00190	K05583	"174,403"
00190	K05584	"174,403"
00190	K05585	"174,403"
00190	K05586	"174,403"
00190	K05587	"174,403"
00190	K05588	"174,403"
00190	K03878	"174,403"
00190	K03879	"174,403"
00190	K03880	"174,403"
00190	K03881	"174,403"
00190	K03882	"174,403"
00190	K03883	"174,403"
00190	K03884	"174,403"
00190	K03934	"174,403"
00190	K03935	"174,403"
00190	K03936	"174,403"
00190	K03937	"174,403"
00190	K03938	"174,403"
00190	K03939	"174,403"
00190	K03940	"174,403"
00190	K03941	"174,403"
00190	K03942	"174,403"
00190	K03943	"174,403"
00190	K03944	"174,403"
00190	K03945	"174,403"
00190	K03946	"174,403"
00190	K03947	"174,403"
00190	K03948	"174,403"
00190	K03949	"174,403"
00190	K03950	"174,403"
00190	K03951	"174,403"
00190	K03952	"174,403"
00190	K03953	"174,403"
00190	K03954	"174,403"
00190	K03955	"174,403"
00190	K03956	"174,403"
