kegg_pathway_id	kegg_ko_id	coords
00900	K01662	"649,193"
00900	K00099	"649,261"
00900	K00991	"649,330"
00900	K12506	"649,330"
00900	K00919	"649,399"
00900	K01770	"650,468"
00900	K12506	"650,468"
00900	K03526	"649,539"
00900	K00869	"411,468"
00900	K00626	"476,193"
00900	K01641	"411,275"
00900	K00054	"436,383"
00900	K00021	"386,383"
00900	K12742	"720,658"
00900	K03527	"649,619"
00900	K01823	"590,659"
00900	K03527	"585,578"
00900	K01597	"475,578"
00900	K00938	"411,539"
00900	K13273	"411,539"
00900	K00787	"650,718"
00900	K00795	"650,718"
00900	K00804	"650,718"
00900	K13789	"650,718"
00900	K13787	"650,718"
00900	K14066	"650,718"
00900	K12503	"470,825"
00900	K00787	"470,906"
00900	K00795	"470,906"
00900	K00804	"470,906"
00900	K13789	"470,906"
00900	K13787	"470,906"
00900	K00806	"317,1225"
00900	K00804	"529,973"
00900	K13789	"529,973"
00900	K13787	"529,973"
00900	K10960	"830,1004"
00900	K00805	"530,1103"
00900	K11778	"359,1163"
00900	K12504	"530,1225"
00900	K12505	"530,1225"
00900	K02523	"530,1163"
00900	K05355	"530,1041"
00900	K05355	"648,1004"
00900	K05356	"950,1004"
00900	K05356	"890,1004"
00900	K14215	"367,774"
00900	K15887	"470,746"
00900	K15888	"754,1004"
00900	K05954	"345,1043"
00900	K05955	"345,1043"
00900	K08658	"236,1053"
00900	K00587	"125,1043"
00900	K15889	"125,1007"
00900	K05906	"93,961"
00900	K15890	"128,936"
00900	K15891	"128,936"
00900	K15892	"236,906"
00900	K15793	"289,936"
00900	K05906	"43,961"
00900	K06013	"236,1032"
00900	K17942	"338,578"
00900	K06981	"411,614"
00900	K18689	"277,468"
00900	K18690	"277,539"
