kegg_pathway_id	kegg_ko_id	coords
00254	K15316	"204,123"
00254	K17643	"307,123"
00254	K17644	"414,123"
00254	K17645	"519,123"
00254	K17645	"520,174"
00254	K17652	"627,123"
00254	K17652	"627,175"
00254	K17646	"729,123"
00254	K17648	"653,239"
00254	K17647	"692,285"
00254	K17647	"785,285"
00254	K17648	"653,326"
00254	K17647	"599,285"
00254	K17646	"559,239"
00254	K17649	"373,239"
00254	K17649	"374,324"
00254	K17650	"279,324"
00254	K17650	"279,239"
00254	K17651	"188,239"
00254	K17651	"188,324"
00254	K11262	"105,123"
