kegg_pathway_id	kegg_ko_id	coords
00310	K00824	"288,189"
00310	K00291	"288,97"
00310	K14157	"288,97"
00310	K00293	"510,97"
00310	K01692	"913,457"
00310	K01825	"913,457"
00310	K01782	"913,457"
00310	K07515	"913,457"
00310	K07514	"913,457"
00310	K07511	"913,457"
00310	K00022	"1025,456"
00310	K01825	"1025,456"
00310	K01782	"1025,456"
00310	K07514	"1025,456"
00310	K13609	"553,232"
00310	K00290	"288,76"
00310	K00292	"510,76"
00310	K14157	"510,76"
00310	K00143	"690,88"
00310	K14085	"690,88"
00310	K00825	"773,150"
00310	K00164	"773,276"
00310	K00626	"1126,456"
00310	K00252	"816,456"
00310	K00135	"593,456"
00310	K14268	"473,456"
00310	K01582	"230,515"
00310	K00306	"591,208"
00310	K00658	"773,397"
00310	K01843	"230,617"
00310	K01844	"348,617"
00310	K18011	"348,617"
00310	K18012	"493,617"
00310	K00471	"921,706"
00310	K00149	"822,716"
00310	K00474	"623,706"
00310	K01423	"540,705"
00310	K06101	"214,686"
00310	K11427	"214,686"
00310	K11420	"214,686"
00310	K09186	"214,686"
00310	K09187	"214,686"
00310	K09188	"214,686"
00310	K14959	"214,686"
00310	K09189	"214,686"
00310	K15588	"214,686"
00310	K11424	"214,686"
00310	K11425	"214,686"
00310	K11422	"214,686"
00310	K11423	"214,686"
00310	K11431	"214,686"
00310	K11428	"214,686"
00310	K11421	"214,686"
00310	K18494	"214,686"
00310	K11433	"214,686"
00310	K11419	"214,686"
00310	K11429	"214,686"
00310	K11703	"333,764"
00310	K13646	"333,764"
00310	K06101	"333,686"
00310	K11427	"333,686"
00310	K11420	"333,686"
00310	K09186	"333,686"
00310	K09187	"333,686"
00310	K09188	"333,686"
00310	K14959	"333,686"
00310	K09189	"333,686"
00310	K15588	"333,686"
00310	K11424	"333,686"
00310	K11425	"333,686"
00310	K11422	"333,686"
00310	K11423	"333,686"
00310	K11431	"333,686"
00310	K11428	"333,686"
00310	K11421	"333,686"
00310	K18494	"333,686"
00310	K11433	"333,686"
00310	K11419	"333,686"
00310	K11429	"333,686"
00310	K00473	"214,765"
00310	K13645	"214,765"
00310	K13646	"214,765"
00310	K13647	"214,765"
00310	K06101	"450,686"
00310	K11427	"450,686"
00310	K11420	"450,686"
00310	K09186	"450,686"
00310	K09187	"450,686"
00310	K09188	"450,686"
00310	K14959	"450,686"
00310	K09189	"450,686"
00310	K15588	"450,686"
00310	K11424	"450,686"
00310	K11425	"450,686"
00310	K11422	"450,686"
00310	K11423	"450,686"
00310	K11431	"450,686"
00310	K11428	"450,686"
00310	K11421	"450,686"
00310	K18494	"450,686"
00310	K11433	"450,686"
00310	K11419	"450,686"
00310	K11429	"450,686"
00310	K00128	"822,695"
00310	K00149	"822,695"
00310	K14085	"822,695"
00310	K03894	"460,558"
00310	K03896	"352,559"
00310	K03897	"230,559"
00310	K03895	"574,559"
00310	K18013	"695,617"
00310	K18014	"867,542"
00310	K01034	"1028,520"
00310	K01035	"1028,520"
00310	K18202	"554,133"
00310	K18201	"428,133"
