kegg_pathway_id	kegg_ko_id	coords
03008	K07936	"376,695"
03008	K14290	"376,712"
03008	K07562	"376,729"
03008	K14483	"357,172"
03008	K01979	"40,132"
03008	K01986	"95,132"
03008	K01982	"150,132"
03008	K01981	"205,132"
03008	K14562	"278,155"
03008	K12845	"355,229"
03008	K14565	"309,229"
03008	K14564	"355,212"
03008	K14563	"309,212"
03008	K11130	"486,229"
03008	K11129	"486,212"
03008	K11128	"440,229"
03008	K11131	"440,212"
03008	K14566	"277,290"
03008	K03685	"540,302"
03008	K14521	"445,373"
03008	K14567	"445,290"
03008	K14569	"350,373"
03008	K11108	"332,401"
03008	K14758	"399,650"
03008	K01164	"408,481"
03008	K14522	"408,481"
03008	K14523	"408,481"
03008	K03538	"408,481"
03008	K03537	"408,481"
03008	K14524	"408,481"
03008	K14525	"408,481"
03008	K14526	"408,481"
03008	K14527	"408,481"
03008	K14528	"408,481"
03008	K03539	"408,481"
03008	K14531	"408,481"
03008	K14532	"408,481"
03008	K14530	"408,481"
03008	K12618	"550,582"
03008	K12619	"550,582"
03008	K06943	"628,542"
03008	K14537	"628,574"
03008	K14538	"628,574"
03008	K14572	"628,616"
03008	K14571	"628,595"
03008	K14570	"482,582"
03008	K13288	"482,582"
03008	K14284	"430,696"
03008	K14543	"430,713"
03008	K14285	"430,713"
03008	K14559	"65,458"
03008	K14561	"86,475"
03008	K14560	"40,475"
03008	K14551	"178,333"
03008	K14552	"178,350"
03008	K14549	"132,333"
03008	K14548	"86,350"
03008	K14550	"132,350"
03008	K14547	"86,333"
03008	K14546	"40,341"
03008	K14553	"40,394"
03008	K14555	"86,394"
03008	K14557	"132,403"
03008	K14558	"178,403"
03008	K14554	"40,411"
03008	K14556	"86,411"
03008	K03097	"65,273"
03008	K03115	"65,256"
03008	K14544	"40,290"
03008	K14539	"550,778"
03008	K14536	"487,788"
03008	K14545	"86,290"
03008	K07178	"311,772"
03008	K14575	"604,778"
03008	K07179	"311,795"
03008	K18532	"243,795"
03008	K14576	"408,498"
03008	K03264	"487,713"
03008	K14568	"350,351"
03008	K14574	"487,771"
03008	K14573	"563,637"
03008	K11883	"325,651"
