kegg_pathway_id	kegg_ko_id	coords
03050	K04687	"319,644"
03050	K03033	"670,97"
03050	K03035	"716,97"
03050	K03036	"761,97"
03050	K03037	"807,97"
03050	K03038	"670,114"
03050	K03039	"716,114"
03050	K03030	"762,114"
03050	K03031	"807,114"
03050	K10881	"853,114"
03050	K03029	"670,144"
03050	K03028	"670,195"
03050	K03032	"716,195"
03050	K06691	"762,195"
03050	K03061	"670,212"
03050	K03062	"716,212"
03050	K03063	"899,212"
03050	K03064	"807,212"
03050	K03065	"853,212"
03050	K03066	"762,212"
03050	K06696	"948,113"
03050	K06697	"994,113"
03050	K06698	"1063,115"
03050	K06699	"970,211"
03050	K02730	"676,394"
03050	K02726	"722,394"
03050	K02728	"768,394"
03050	K02731	"814,394"
03050	K02729	"860,394"
03050	K02725	"906,394"
03050	K02727	"952,394"
03050	K02738	"676,411"
03050	K02739	"722,411"
03050	K02735	"768,411"
03050	K02734	"814,411"
03050	K02737	"860,411"
03050	K02732	"906,411"
03050	K02736	"952,411"
03050	K02741	"676,478"
03050	K02733	"736,478"
03050	K02740	"792,478"
03050	K11598	"906,478"
03050	K03432	"676,552"
03050	K03433	"676,569"
03050	K03420	"970,295"
03050	K06700	"370,836"
03050	K11599	"320,804"
03050	K02741	"270,684"
03050	K02733	"320,684"
03050	K02740	"370,684"
03050	K06696	"320,747"
03050	K06697	"320,764"
03050	K13527	"739,295"
