kegg_pathway_id	kegg_ko_id	coords
00750	K06215	"831,247"
00750	K08681	"831,247"
00750	K18608	"550,108"
00750	K00157	"518,193"
00750	K00275	"600,127"
00750	K00275	"734,127"
00750	K07758	"659,77"
00750	K13248	"659,77"
00750	K00868	"659,58"
00750	K07758	"659,349"
00750	K13248	"659,349"
00750	K00868	"659,330"
00750	K07758	"659,213"
00750	K13248	"659,213"
00750	K00868	"659,194"
00750	K01733	"623,486"
00750	K00097	"677,517"
00750	K00831	"569,518"
00750	K03473	"456,518"
00750	K03472	"343,518"
00750	K00275	"734,282"
00750	K18607	"550,282"
00750	K05275	"576,263"
00750	K00275	"600,282"
00750	K03474	"734,389"
00750	K18613	"203,204"
00750	K18071	"102,204"
00750	K18614	"48,170"
00750	K18609	"518,151"
00750	K18610	"447,172"
00750	K18611	"403,204"
00750	K18612	"304,204"
